#{"t_start": 1709814426.1957824, "env_id": "Reacher-v4"}
r,l,t
-62.798132,50,1.230674
-67.685328,50,1.289866
-60.349629,50,1.345115
-64.580094,50,1.398497
-59.738956,50,1.454432
-62.642689,50,1.507528
-54.502171,50,1.563059
-66.787644,50,1.619498
-60.337906,50,1.675044
-66.740747,50,1.727892
-55.120806,50,2.069266
-71.033997,50,2.123786
-62.021758,50,2.182508
-54.35014,50,2.237632
-68.203471,50,2.293222
-56.990171,50,2.346363
-69.23088,50,2.401812
-53.316502,50,2.455939
-61.93818,50,2.511012
-55.537473,50,2.564218
-64.235209,50,2.93815
-55.334713,50,2.999171
-55.257449,50,3.071615
-56.470654,50,3.143551
-57.415005,50,3.212539
-63.479859,50,3.277076
-74.295686,50,3.33863
-66.302747,50,3.396829
-58.99392,50,3.457663
-70.43428,50,3.517848
-56.491437,50,3.894098
-62.624395,50,3.953327
-68.419522,50,4.009896
-69.420408,50,4.063565
-63.200912,50,4.120334
-57.154032,50,4.175525
-67.662025,50,4.233546
-71.923859,50,4.28873
-63.944063,50,4.345495
-65.099813,50,4.400715
-64.147913,50,4.750264
-59.436184,50,4.803665
-61.042084,50,4.859012
-56.832637,50,4.912279
-60.483765,50,4.967382
-60.742922,50,5.034104
-61.521565,50,5.089694
-61.38245,50,5.143133
-54.407062,50,5.198461
-62.20623,50,5.251876
-68.639377,50,5.307137
-58.447853,50,5.652586
-60.651847,50,5.708137
-64.820421,50,5.761171
-55.059139,50,5.81652
-62.400839,50,5.86998
-75.222407,50,5.925685
-64.918879,50,5.983049
-64.967247,50,6.044909
-54.501949,50,6.104304
-62.541664,50,6.165192
-59.17385,50,6.59466
-58.811391,50,6.655611
-63.41947,50,6.71602
-61.177325,50,6.77717
-61.893556,50,6.835635
-56.248246,50,6.894311
-63.412138,50,6.971819
-59.354882,50,7.030341
-66.162402,50,7.087199
-69.199778,50,7.143521
-63.653082,50,7.538007
-55.682751,50,7.593026
-56.817565,50,7.645933
-63.057141,50,7.701031
-59.605989,50,7.75378
-54.562205,50,7.809613
-61.451098,50,7.863357
-56.971965,50,7.91944
-60.304895,50,7.973175
-59.641715,50,8.029466
-58.061783,50,8.378276
-55.398018,50,8.43418
-65.354284,50,8.486736
-57.179263,50,8.541862
-60.953088,50,8.594449
-62.386134,50,8.650555
-59.491615,50,8.705071
-60.673525,50,8.762049
-58.512277,50,8.818673
-60.851979,50,8.879503
-52.080108,50,8.940939
-60.486126,50,9.291105
-64.772102,50,9.345017
-64.781351,50,9.400481
-63.119882,50,9.454019
-53.67109,50,9.509414
-60.25884,50,9.562939
-61.85843,50,9.618953
-58.797079,50,9.672308
-54.893468,50,9.727779
-57.914005,50,9.781575
-63.191765,50,10.15284
-69.879946,50,10.20591
-59.357165,50,10.261952
-66.184603,50,10.316627
-61.509907,50,10.37232
-64.768924,50,10.430812
-64.131169,50,10.493415
-52.962319,50,10.552909
-64.695948,50,10.610309
-62.098164,50,10.664135
-55.893017,50,11.011596
-65.156081,50,11.066333
-70.499114,50,11.12294
-65.772471,50,11.178684
-63.218016,50,11.234042
-51.063824,50,11.287606
-59.887819,50,11.343001
-66.763951,50,11.396158
-65.028672,50,11.452474
-60.591693,50,11.507067
-61.072611,50,11.853166
-59.307174,50,11.913402
-60.067212,50,11.969546
-48.340943,50,12.023223
-60.252491,50,12.0822
-53.721057,50,12.135859
-56.641588,50,12.191576
-57.123046,50,12.245893
-58.508493,50,12.301759
-60.977078,50,12.357618
-54.099768,50,12.464754
-60.61707,50,12.812366
-56.409937,50,12.874041
-56.700476,50,12.932703
-57.107457,50,12.993824
-56.539492,50,13.052633
-56.535732,50,13.113959
-58.737676,50,13.17269
-59.442579,50,13.233484
-50.872476,50,13.292176
-58.356046,50,13.353634
-59.761244,50,13.707559
-61.202129,50,13.763258
-60.062125,50,13.81682
-55.391131,50,13.872945
-56.032142,50,13.932215
-63.152984,50,13.993877
-60.130404,50,14.047714
-58.444466,50,14.104074
-53.662402,50,14.162753
-63.258137,50,14.223591
-62.870932,50,14.558614
-56.36695,50,14.613862
-58.374901,50,14.666889
-61.896904,50,14.72766
-50.370863,50,14.786401
-53.628451,50,14.847391
-60.218476,50,14.906231
-54.339657,50,14.961659
-55.351366,50,15.020044
-59.234172,50,15.080862
-65.290275,50,15.416478
-54.111449,50,15.471757
-57.586066,50,15.53045
-63.91277,50,15.591387
-53.425593,50,15.643878
-55.883076,50,15.704905
-60.882451,50,15.763204
-51.12875,50,15.82394
-61.023252,50,15.882536
-55.768059,50,15.943604
-58.429988,50,15.996526
-56.243001,50,16.334846
-67.697591,50,16.393792
-46.621085,50,16.449158
-56.735119,50,16.502263
-60.044513,50,16.56318
-55.192037,50,16.616297
-64.803439,50,16.682018
-51.534296,50,16.734574
-52.38726,50,16.795599
-48.383021,50,16.855229
-60.632857,50,17.20315
-55.576375,50,17.256538
-54.132408,50,17.317421
-58.454772,50,17.375829
-56.27544,50,17.436134
-48.546849,50,17.494671
-52.353623,50,17.555449
-51.45049,50,17.614198
-60.806002,50,17.675109
-62.946047,50,17.728124
-56.243287,50,18.072918
-56.96886,50,18.132049
-52.631826,50,18.193309
-61.238196,50,18.252178
-55.364719,50,18.307866
-46.404468,50,18.366444
-63.798167,50,18.427529
-55.329971,50,18.480689
-58.776608,50,18.536157
-55.253215,50,18.589308
-62.166376,50,18.939418
-50.659329,50,18.993717
-52.069726,50,19.055557
-62.76186,50,19.114843
-62.723761,50,19.176992
-57.560023,50,19.237166
-56.859428,50,19.293597
-52.894724,50,19.352778
-60.738565,50,19.415212
-61.752772,50,19.469239
-56.048254,50,19.525707
-51.726409,50,19.875188
-59.516556,50,19.93561
-54.580162,50,19.993821
-56.103326,50,20.049476
-57.982008,50,20.108325
-56.396385,50,20.169339
-55.592051,50,20.227844
-59.905136,50,20.289262
-62.038687,50,20.347929
-57.729986,50,20.403387
-52.543974,50,20.752312
-53.189997,50,20.807622
-57.144064,50,20.866951
-57.71961,50,20.922966
-48.373422,50,20.97679
-49.746563,50,21.038135
-51.945129,50,21.097018
-52.486695,50,21.158412
-50.877456,50,21.217411
-59.631452,50,21.278902
-57.062687,50,21.620169
-57.695647,50,21.675742
-60.116853,50,21.728742
-60.405212,50,21.784333
-52.766815,50,21.837476
-56.716305,50,21.892896
-54.210508,50,21.947001
-54.174983,50,22.002574
-58.857463,50,22.056121
-49.712177,50,22.112264
-63.300384,50,22.488666
-51.13989,50,22.545302
-54.02861,50,22.604557
-60.876198,50,22.666276
-55.250016,50,22.725737
-74.490982,50,22.787601
-54.967315,50,22.841475
-55.990264,50,22.89825
-57.287308,50,22.952603
-51.612909,50,23.008982
-58.142767,50,23.068431
-52.832684,50,23.44055
-57.382839,50,23.504093
-52.769994,50,23.560549
-62.163849,50,23.614516
-52.861601,50,23.671449
-57.306014,50,23.725802
-53.502222,50,23.782795
-53.798322,50,23.838213
-60.303596,50,23.9018
-53.181944,50,23.955929
-56.809497,50,24.308421
-47.724475,50,24.369692
-67.699517,50,24.431723
-50.287153,50,24.485973
-58.38419,50,24.543048
-58.98517,50,24.597478
-52.141586,50,24.654139
-57.551195,50,24.708511
-49.836779,50,24.76562
-52.638147,50,24.826252
-58.709874,50,25.184506
-58.717638,50,25.242234
-49.018459,50,25.298563
-58.006152,50,25.353141
-57.718162,50,25.409727
-54.257301,50,25.486447
-52.402575,50,25.542629
-57.253373,50,25.596708
-59.120552,50,25.652853
-57.748456,50,25.707087
-56.559592,50,26.058218
-45.543929,50,26.111959
-48.780624,50,26.167807
-51.970831,50,26.22748
-55.003006,50,26.283578
-50.244863,50,26.337314
-57.162764,50,26.394001
-59.891196,50,26.448037
-47.359285,50,26.510199
-49.141593,50,26.569719
-50.674559,50,26.925386
-53.664302,50,26.987347
-58.537222,50,27.0493
-50.995685,50,27.104186
-62.763015,50,27.16067
-50.161469,50,27.21469
-55.949742,50,27.271537
-58.702998,50,27.331126
-52.621787,50,27.387564
-43.359098,50,27.447414
-55.562404,50,27.509785
-58.374994,50,27.859564
-58.412053,50,27.921731
-51.722477,50,27.981384
-55.288565,50,28.043824
-53.871092,50,28.103925
-57.624618,50,28.160806
-56.345987,50,28.22073
-48.195889,50,28.283346
-62.636364,50,28.343104
-52.55473,50,28.399836
-51.272005,50,28.749001
-52.631066,50,28.805176
-55.08051,50,28.864784
-51.071863,50,28.927748
-49.155082,50,28.987365
-58.143813,50,29.049382
-46.623173,50,29.109123
-55.208341,50,29.171568
-51.961707,50,29.231768
-50.694929,50,29.296343
-56.543276,50,29.660959
-57.041197,50,29.726664
-54.275619,50,29.786702
-50.961661,50,29.843928
-52.195472,50,29.899138
-59.13252,50,29.95587
-59.509838,50,30.009889
-54.437629,50,30.066552
-53.91255,50,30.120782
-48.138663,50,30.177419
-54.081072,50,30.523358
-55.575398,50,30.585152
-54.656716,50,30.644449
-46.881387,50,30.700426
-49.254885,50,30.760003
-49.753527,50,30.822167
-51.766478,50,30.882084
-50.865371,50,30.946003
-51.13743,50,31.000198
-52.776281,50,31.062621
-60.355242,50,31.117337
-53.358376,50,31.470136
-61.259005,50,31.527349
-60.084424,50,31.583477
-51.781101,50,31.64324
-61.106765,50,31.704903
-53.380578,50,31.758858
-50.512883,50,31.815443
-52.77763,50,31.869457
-61.818401,50,31.932978
-54.807124,50,31.986716
-61.477352,50,32.342279
-55.373309,50,32.396663
-56.027055,50,32.453081
-52.090241,50,32.507391
-52.040383,50,32.563574
-61.574549,50,32.61829
-54.587895,50,32.675042
-48.542046,50,32.729508
-58.358926,50,32.785861
-49.026055,50,32.840182
-50.188157,50,33.200954
-54.677016,50,33.260768
-52.90532,50,33.316999
-49.865553,50,33.376723
-52.488731,50,33.439167
-51.830001,50,33.493097
-49.313913,50,33.555121
-48.897626,50,33.614684
-51.839594,50,33.677163
-52.40106,50,33.736644
-60.483133,50,34.094401
-59.711647,50,34.151167
-53.079075,50,34.207093
-55.232161,50,34.261163
-51.626315,50,34.317359
-59.131574,50,34.371556
-46.717607,50,34.428035
-58.184002,50,34.488135
-59.018031,50,34.544183
-54.728759,50,34.597722
-56.545408,50,34.653718
-50.091808,50,35.003552
-52.9777,50,35.05975
-49.784922,50,35.114058
-56.136051,50,35.170374
-54.503738,50,35.224324
-52.359991,50,35.280766
-49.006838,50,35.334562
-52.020651,50,35.390902
-60.560516,50,35.44477
-51.19081,50,35.501002
-59.811113,50,35.847345
-48.53926,50,35.905609
-49.799218,50,35.959608
-55.11984,50,36.015935
-56.82302,50,36.069763
-52.528636,50,36.126294
-54.668739,50,36.180153
-55.278551,50,36.237213
-45.384357,50,36.291449
-49.048405,50,36.348121
-60.548127,50,36.712077
-42.989229,50,36.769967
-54.135753,50,36.82939
-52.835996,50,36.885877
-53.25158,50,36.945673
-58.86346,50,37.007824
-56.859638,50,37.063436
-49.181598,50,37.120562
-54.809069,50,37.174714
-56.795702,50,37.230979
-43.89318,50,37.578159
-49.320679,50,37.639866
-49.389476,50,37.699175
-50.813485,50,37.755007
-49.379142,50,37.813989
-54.461762,50,37.869886
-54.731247,50,37.924304
-49.009496,50,37.980389
-55.100568,50,38.034284
-57.93968,50,38.090494
-50.19223,50,38.144356
-56.02622,50,38.501661
-54.507327,50,38.555704
-56.997286,50,38.612237
-50.737605,50,38.666426
-48.375365,50,38.728205
-48.615552,50,38.788072
-52.77286,50,38.850511
-50.171766,50,38.904757
-48.018708,50,38.96127
-58.303035,50,39.021366
-56.618146,50,39.370041
-50.412485,50,39.424213
-54.941146,50,39.480471
-57.438232,50,39.534495
-50.91024,50,39.590712
-48.844399,50,39.644786
-49.626369,50,39.70104
-54.082509,50,39.755384
-42.742235,50,39.811732
-46.798885,50,39.865769
-43.515388,50,40.242898
-47.880553,50,40.303099
-49.608421,50,40.365176
-57.193768,50,40.424932
-49.648486,50,40.481648
-51.040381,50,40.535728
-45.358348,50,40.591989
-48.232926,50,40.651536
-48.689484,50,40.714016
-47.69436,50,40.773494
-52.626266,50,41.130767
-49.273101,50,41.19067
-48.339867,50,41.252713
-49.682955,50,41.31241
-51.498944,50,41.374913
-57.045994,50,41.434845
-52.684206,50,41.491668
-52.796376,50,41.546121
-53.74076,50,41.603067
-51.998823,50,41.657485
-50.905253,50,41.714189
-51.062784,50,42.067666
-49.062229,50,42.12439
-44.691402,50,42.178531
-56.201669,50,42.240246
-51.805681,50,42.294419
-44.494545,50,42.350871
-58.716462,50,42.404903
-54.995471,50,42.461678
-57.937659,50,42.515604
-41.934903,50,42.571923
-48.862817,50,42.925645
-49.93762,50,42.987517
-50.524574,50,43.047345
-49.650463,50,43.109566
-46.078187,50,43.163532
-52.113257,50,43.225922
-54.943637,50,43.286114
-47.9185,50,43.342869
-55.811798,50,43.402775
-52.393902,50,43.459365
-46.718385,50,43.809308
-50.515994,50,43.86607
-52.023498,50,43.956336
-46.153432,50,44.046335
-57.663696,50,44.106928
-48.069299,50,44.164113
-47.237853,50,44.218563
-50.956692,50,44.280708
-46.099118,50,44.340138
-50.845317,50,44.402064
-44.995089,50,44.747205
-49.079675,50,44.808683
-54.79763,50,44.868032
-56.38049,50,44.934139
-41.417287,50,44.988055
-48.68156,50,45.050359
-46.743205,50,45.110011
-52.602087,50,45.166456
-39.850001,50,45.220736
-50.26241,50,45.283066
-43.924897,50,45.337103
-45.34348,50,45.706211
-54.765537,50,45.764566
-47.584606,50,45.819141
-38.143223,50,45.87764
-49.567893,50,45.945647
-54.223686,50,45.998323
-50.030508,50,46.060179
-46.549311,50,46.118534
-45.784813,50,46.174171
-49.797237,50,46.232599
-50.009327,50,46.574277
-47.646816,50,46.632512
-52.258609,50,46.692845
-53.324216,50,46.750707
-51.233929,50,46.811497
-50.336873,50,46.863921
-42.748463,50,46.925038
-44.88509,50,46.982958
-56.920283,50,47.045231
-46.830927,50,47.098808
-47.130756,50,47.449679
-55.121471,50,47.507633
-45.267332,50,47.562523
-42.602672,50,47.615075
-55.94878,50,47.675646
-55.488345,50,47.729759
-47.646307,50,47.784885
-52.517017,50,47.837741
-50.980681,50,47.893306
-51.58315,50,47.951621
-46.708695,50,48.29736
-45.234934,50,48.355938
-42.059075,50,48.416144
-48.025353,50,48.474334
-47.253188,50,48.535064
-58.010055,50,48.592856
-50.517095,50,48.647465
-51.425033,50,48.699533
-50.502266,50,48.754669
-51.205175,50,48.806668
-49.226117,50,49.167272
-51.091269,50,49.220163
-42.633768,50,49.274922
-44.822778,50,49.327588
-40.311843,50,49.382249
-50.845515,50,49.435414
-44.519166,50,49.490605
-41.304211,50,49.543663
-53.893326,50,49.603862
-49.379632,50,49.657534
-46.449134,50,49.712328
-51.235814,50,50.057159
-48.798163,50,50.112138
-45.529106,50,50.170387
-44.355856,50,50.231305
-47.51537,50,50.289409
-46.6651,50,50.35039
-55.803614,50,50.408806
-49.038785,50,50.463653
-43.276753,50,50.515986
-53.39489,50,50.577247
-45.409142,50,50.938209
-45.225497,50,50.993762
-44.714152,50,51.052794
-49.750904,50,51.114119
-54.595493,50,51.166658
-51.853193,50,51.222298
-54.580434,50,51.282016
-45.940153,50,51.344134
-55.986098,50,51.396588
-49.802749,50,51.451762
-42.808713,50,51.792136
-43.809826,50,51.847342
-49.806516,50,51.90693
-43.53898,50,51.962782
-53.604333,50,52.022002
-42.108909,50,52.084077
-47.765918,50,52.143798
-41.368569,50,52.205161
-54.197761,50,52.264302
-41.129997,50,52.319678
-50.120777,50,52.680925
-49.217949,50,52.742965
-39.610179,50,52.79698
-54.435888,50,52.858989
-48.237882,50,52.91358
-53.03589,50,52.969919
-45.942871,50,53.023276
-43.807085,50,53.079826
-49.317795,50,53.134416
-49.045503,50,53.191433
-39.904786,50,53.245398
-46.032922,50,53.596295
-38.585763,50,53.65497
-50.412744,50,53.715627
-50.937881,50,53.768554
-53.752136,50,53.825636
-50.681,50,53.878468
-51.962444,50,53.934821
-54.657916,50,53.987673
-48.641385,50,54.042904
-49.231904,50,54.095089
-42.754202,50,54.434421
-42.059061,50,54.486939
-41.350716,50,54.54185
-46.382043,50,54.594841
-47.976981,50,54.64972
-43.485162,50,54.702518
-49.206981,50,54.757167
-50.428185,50,54.810186
-45.530563,50,54.865266
-40.43481,50,54.918396
-48.50592,50,55.26565
-43.494847,50,55.324088
-47.463371,50,55.384715
-49.112162,50,55.443131
-46.127482,50,55.504203
-46.306281,50,55.556595
-46.532728,50,55.611863
-39.461592,50,55.670527
-44.681127,50,55.731673
-47.475971,50,55.790269
-49.096693,50,56.134434
-48.829422,50,56.186262
-47.663736,50,56.240369
-44.438046,50,56.292362
-36.440976,50,56.352657
-38.432436,50,56.410087
-53.553972,50,56.470269
-48.190294,50,56.522514
-51.526086,50,56.582279
-44.548718,50,56.634338
-37.074969,50,56.688888
-48.756537,50,57.038752
-45.179691,50,57.099531
-46.553381,50,57.157963
-45.303626,50,57.218991
-47.728591,50,57.27728
-50.472048,50,57.338269
-51.780226,50,57.396589
-42.826519,50,57.45465
-41.630204,50,57.513353
-44.593787,50,57.574252
-45.392107,50,57.912797
-45.524561,50,57.967764
-35.074672,50,58.020077
-46.510907,50,58.08086
-41.980903,50,58.134218
-40.844312,50,58.189735
-39.861669,50,58.247767
-51.523073,50,58.308851
-39.390102,50,58.361938
-43.719147,50,58.423026
-40.932667,50,58.778753
-44.54555,50,58.839771
-46.786884,50,58.892674
-42.037931,50,58.953534
-47.020655,50,59.011738
-43.450118,50,59.072575
-55.243069,50,59.131085
-48.036402,50,59.186282
